ageGroup,ageGroupIdFk,athleteCountryCode,athleteIdFk,bestRecord,bibNumber,combinedEventScoreCalculated,firstName,gender,groupNo,imgVariants,initialPb,initialPbImperial,initialSb,initialSbImperial,laneRow,laneStacked,lastName,position,price,promotion,relayTeamNational,s3ImgUuid,seImplementIdFk,seedingPromotion,startStatus,eventIdFk,event,nameAndEvent
Senior,23,ETH,4812,None,,,Getnet,Male,0,1,4852100,4852100,4867400,4867400,1,,Wale,19,$6130000,N,,4812_1567974477254,29,N,Ok,24,3000m Steeplechase,Getnet Wale (3000m Steeplechase)
Senior,23,ETH,1103,None,,,Hailemariyam,Male,0,,4862900,4862900,4862900,4862900,1,,Amare,16,$6130000,N,,,29,N,Ok,24,3000m Steeplechase,Hailemariyam Amare (3000m Steeplechase)
Senior,23,QAT,167,None,,,Mutaz,Male,0,1,243,9550,230,9050,1,,Barshim,24,$6120000,N,,167_1624521125743,39,N,Ok,40,High Jump,Mutaz Barshim (High Jump)
Senior,23,ETH,22532,None,,,Mekides,Female,0,,5425200,5425200,5432600,5432600,1,,Abebe,16,$6120000,N,,,177,N,Ok,24,3000m Steeplechase,Mekides Abebe (3000m Steeplechase)
Senior,23,KEN,1400,None,,,Abraham,Male,0,,4857200,4857200,4867300,4867300,1,,Kibiwot,30,$6110000,N,,,29,N,Ok,24,3000m Steeplechase,Abraham Kibiwot (3000m Steeplechase)
Senior,23,AUS,556,None,,,Peter,Male,0,1,1040000,1040000,1040000,1040000,1,,Bol,4,$6100000,N,,556_1653466277802,25,N,Ok,20,800m,Peter Bol (800m)
Senior,23,GBR,3899,None,,,Marc,Male,0,1,7770800,7770800,7770800,7770800,1,,Scott,20,$6100000,N,,3899_1597822401073,27,N,Ok,22,5000m,Marc Scott (5000m)
Senior,23,USA,3184,None,,,Ajeé,Female,0,,1156100,1156100,1172300,1172300,1,,Wilson,46,$6100000,N,,0ada13b9-82a6-4d9a-88fe-41d7d6d1c441,173,N,Ok,20,800m,Ajeé Wilson (800m)
Senior,23,KEN,84964,None,,,Judith Jeptum,Female,0,,83880000,83880000,83880000,83880000,1,,Korir,31,$6060000,N,,,178,N,Ok,25,Marathon,Judith Jeptum Korir (Marathon)
Senior,23,GBR,19847,None,,,Keely,Female,0,1,1158800,1158800,1172000,1172000,1,,Hodgkinson,19,$6060000,N,,19847_1621859107124,173,N,Ok,20,800m,Keely Hodgkinson (800m)
Senior,23,ETH,2436,None,,,Muktar,Male,0,,7748300,7748300,7786300,7786300,1,,Edris,16,$6040000,N,,ed81ba60-f2fb-4974-845b-1226af4213b9,27,N,Ok,22,5000m,Muktar Edris (5000m)
Senior,23,KEN,29589,None,,,Abel,Male,0,1,2095600,2095600,2110100,2110100,1,,Kipsang,26,$6040000,N,,29589_1653469774120,26,N,Ok,21,1500m,Abel Kipsang (1500m)
Senior,23,ALG,2549,None,,,Yassine,Male,0,,1040600,1040600,1040600,1040600,1,,Hathat,1,$6030000,N,,,25,N,Ok,20,800m,Yassine Hathat (800m)
Senior,23,ITA,8322,None,,,Massimo,Male,0,,89490000,89490000,89490000,89490000,1,,Stano,30,$6020000,N,,,1314,N,Ok,2234,35K Racewalk,Massimo Stano (35K Racewalk)
Senior,23,ETH,13676,None,,,Lelisa,Male,0,,74850000,74850000,,,1,,Desisa,24,$6010000,N,,,30,N,Ok,25,Marathon,Lelisa Desisa (Marathon)
Senior,23,NED,7365,None,,,Femke,Female,0,1,520300,520300,522700,522700,1,,Bol,20,$6010000,N,,7365_1655281773122,159,N,Ok,6,400m Hurdles,Femke Bol (400m Hurdles)
Senior,23,USA,9690,None,,,Grant,Male,0,,15938400,15938400,15938400,15938400,1,,Fisher,24,$6000000,N,,,28,N,Ok,23,10000m,Grant Fisher (10000m)
Senior,23,UGA,665,None,,,Jacob,Male,0,1,15939300,15939300,,,1,,Kiplimo,22,$6000000,N,,665_1621863486498,28,N,Ok,23,10000m,Jacob Kiplimo (10000m)
Senior,23,USA,5534,None,,,Janee',Female,0,,7800,307075,7800,307075,1,,Kassanavoid,31,$6000000,N,,,201,N,Ok,51,Hammer Throw,Janee' Kassanavoid (Hammer Throw)
Senior,23,GRE,84916,None,,,Antigoni,Female,0,,100680000,100680000,100680000,100680000,1,,Ntrismpioti,19,$5990000,N,,,1312,N,Ok,2234,35K Racewalk,Antigoni Ntrismpioti (35K Racewalk)
Senior,23,NOR,4562,None,,,Jakob,Male,0,1,7684500,7684500,7820300,7820300,1,,Ingebrigtsen,32,$5980000,N,,4562_1624521734026,27,N,Ok,22,5000m,Jakob Ingebrigtsen (5000m)
Senior,23,CAN,2350,None,,,Mohammed,Male,0,1,15941400,15941400,15941400,15941400,1,,Ahmed,6,$5980000,N,,2350_1624521706345,28,N,Ok,23,10000m,Mohammed Ahmed (10000m)
Senior,23,USA,49765,None,,,Elijah,Male,0,1,99000,99000,99000,99000,1,,Hall,75,$5970000,N,,49765_1654525740389,1,N,Ok,1,100m,Elijah Hall (100m)
Senior,23,GHA,22705,None,,,Benjamin,Male,0,,99000,99000,99000,99000,1,,Azamati,32,$5970000,N,,,1,N,Ok,1,100m,Benjamin Azamati (100m)
Senior,23,JAM,52231,None,,,Britany,Female,0,1,124000,124000,124500,124500,1,,Anderson,19,$5960000,N,,52231_1655283842300,156,N,Ok,4,100m Hurdles,Britany Anderson (100m Hurdles)
Senior,23,GBR,269,None,,,Eilish,Female,0,1,8685500,8685500,,,1,,McColgan,15,$5960000,N,,269_1498490276422,175,N,Ok,22,5000m,Eilish McColgan (5000m)
Senior,23,JAM,609,None,,,Elaine,Female,0,1,215300,215300,220500,220500,1,,Thompson-Herah,33,$5950000,N,,609_1630581966781,154,N,Ok,2,200m,Elaine Thompson-Herah (200m)
Senior,23,UGA,365,None,,,Peruth,Female,0,,5414500,5414500,5455400,5455400,1,,Chemutai,40,$5950000,N,,,177,N,Ok,24,3000m Steeplechase,Peruth Chemutai (3000m Steeplechase)
